LocationID,OBJECTID,UniversalReefID
864651,100,5576
864765,100,5576
864766,100,5576
864767,100,5576
864768,100,5576
864645,101,5574
864646,101,5574
864647,101,5574
864762,101,5574
864763,101,5574
864764,101,5574
864652,,5570
864769,,5570
864578,103,5580
864639,103,5580
864640,103,5580
864641,103,5580
864642,103,5580
864643,103,5580
864644,103,5580
864756,103,5580
864757,103,5580
864758,103,5580
864759,103,5580
864760,103,5580
864761,103,5580
864653,,5572
864654,,5572
864770,,5572
864771,,5572
864658,106,5568
864775,106,5568
864657,,5568
864774,,5568
864655,,5575
864772,,5575
864656,108,5569
864773,108,5569
864660,110,5567
864661,110,5567
864776,110,5567
864777,110,5567
864666,112,5562
864667,112,5562
864782,112,5562
864783,112,5562
864665,,5562
864781,,5562
864662,,5563
864778,,5563
864669,114,5561
864670,114,5561
864671,114,5561
864673,114,5561
864785,114,5561
864786,114,5561
864787,114,5561
864789,114,5561
864668,,5561
864784,,5561
864672,,5561
864788,,5561
2206,,3824
2205,,3877
2198,,3934
864445,4620,20559
864446,4620,20559
864447,4620,20559
864448,4620,20559
864449,4620,20559
918344,4620,20559
918345,4620,20559
918346,4620,20559
919867,4620,20559
935521,4620,20559
935522,4620,20559
935525,4620,20559
935524,4621,20560
935523,4625,20564
864439,4654,20595
864440,4654,20595
864441,,20595
935518,4654,20595
864436,4655,20596
864437,,20596
864438,,20596
864442,4655,20596
864443,4655,20596
864444,4655,20596
935517,4655,20596
935519,,20596
935520,4655,20596
918343,4662,20603
919866,,20603
864397,4666,20607
864398,4666,20607
864399,4666,20607
935535,4666,20607
935538,4671,20612
935539,4672,20613
864433,,20623
864434,,20623
864435,,20623
935513,,20623
935515,4682,20624
935540,4682,20624
919876,4731,18189
935485,4731,18189
935486,4731,18189
935487,4731,18189
935441,4734,18332
935442,4734,18332
935495,4734,18332
935497,4734,18332
935498,4734,18332
935499,4734,18332
935500,4734,18332
935501,4734,18332
935502,4734,18332
935494,4734,18332
935443,4738,18293
935503,4739,18294
935504,4739,18294
935505,4739,18294
935506,4740,18295
935507,4740,18295
935553,4801,18200
1303079,4801,18200
864426,4938,20769
864427,4938,20769
935484,4938,20769
935490,4938,20769
864421,,20776
864422,4945,20776
935477,4945,20776
935478,,20776
864423,4952,20783
864424,4952,20783
935479,4952,20783
935480,4952,20783
935514,4971,20802
864412,4972,20803
864413,4972,20803
864414,4972,20803
935473,4972,20803
935516,4978,20809
919874,,20818
864425,4989,20820
935481,4989,20820
935482,4989,20820
935483,4989,20820
864415,4998,20829
864416,4998,20829
864417,5033,20864
935474,5033,20864
935475,5033,20864
935527,5033,20864
918381,5045,20876
935467,5055,20887
935464,5060,20892
864403,5062,20894
864404,5062,20894
864405,5062,20894
935462,5062,20894
935463,5062,20894
935528,5062,20894
935465,,20905
935466,5073,20905
919861,5080,20912
935461,5080,20912
935529,5080,20912
919863,5081,20913
864406,5091,20923
864407,5091,20923
864408,5091,20923
918379,5091,20923
918380,5091,20923
919857,5091,20923
935530,5091,20923
918377,5092,20924
918378,5092,20924
919856,5092,20924
935531,5092,20924
919862,,20943
935469,,20943
935532,5127,20959
864409,5135,20967
864410,5135,20967
864411,5135,20967
935471,5135,20967
935472,5137,20969
864393,5179,21011
935446,5179,21011
935447,5179,21011
935448,5179,21011
864392,5183,21015
935444,5183,21015
935445,5183,21015
935541,5183,21015
935542,5197,21029
919869,5200,21032
935458,5200,21032
935459,5200,21032
935543,5200,21032
935457,5202,21034
935544,5204,21036
919871,5210,21042
918342,5229,21061
